time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,Appl:Electricity [kW](Hourly),Total:Electricity [kW](Hourly),hour,weekday,month
2013-08-26 15:00:00,2.25913300173,0.0250497538101,0.0,0.0,0.908748535546,0.258137684518,1.16688622006,0.258137684518,0.0611320215454,0.013169460588,0.379378049552,0.3636763776,0.258246872385,0.0,5.951695661852501,15,0,8
2013-08-26 16:00:00,2.50652741454,0.0304314474939,0.0,0.0,0.908691479731,0.266457823362,1.17514930309,0.266457823362,0.0791120325685,0.017042831854,0.45567446099,0.441808676988,0.321096109048,0.0,6.4684494030274,16,0,8
2013-08-26 17:00:00,2.51256005,0.0330393670687,0.0,0.0,0.782981732138,0.239371891237,1.02235362338,0.239371891237,0.133052057671,0.0286629422194,0.417464300526,0.479670875204,0.384712251006,0.0,6.273240981687101,17,0,8
2013-08-26 18:00:00,2.42486659065,0.0341031237373,0.0,0.0,0.646630960851,0.202856021761,0.849486982612,0.202856021761,0.258912095,0.0557765325,0.349528380947,0.495114666582,0.399403933007,0.0,5.919535309408301,18,0,8
2013-08-26 19:00:00,2.47235008807,0.0352755437216,0.0,0.0,0.550031065997,0.174143649451,0.724174715447,0.174143649451,0.442308135737,0.0952849211288,0.316986698499,0.512136049552,0.364815567703,0.0,5.8616500847574,19,0,8
2013-08-26 20:00:00,2.42604981142,0.0344519901717,0.0,0.0,0.451418517409,0.145125251378,0.596543768787,0.145125251378,0.568168173065,0.122398511409,0.302828610822,0.500179565905,0.319287181431,0.0,5.6115766331757,20,0,8
2013-08-26 21:00:00,1.92815050478,0.0298137823315,0.0,0.0,0.351384503735,0.112998855368,0.464383359103,0.112998855368,0.424328164546,0.0914115584439,0.244907227988,0.432841314253,0.253634880448,0.0,4.4468530063644,21,0,8
2013-08-26 22:00:00,1.42015475553,0.0259076220912,0.0,0.0,0.245801428736,0.0795597672669,0.325361196003,0.0795597672669,0.294872117046,0.0635232750319,0.162581133687,0.376131048066,0.181041985694,0.0,3.2544940964189,22,0,8
2013-08-26 23:00:00,0.914252830744,0.0214295496636,0.0,0.0,0.147829357871,0.0481972783351,0.196026636206,0.0481972783351,0.151032028862,0.0325363220663,0.104554581517,0.311117668235,0.102341593859,0.0,2.0775151256940996,23,0,8
2013-08-27 00:00:00,0.677061755913,0.0197309704668,0.0,0.0,0.0823291803544,0.0270219439511,0.109351124305,0.0270219439511,0.0899000152827,0.0193668477487,0.0875042465431,0.286457420712,0.0678381013203,0.0,1.4935835505481998,0,1,8
2013-08-27 01:00:00,0.574518264096,0.0195022055919,0.0,0.0,0.0505020905528,0.0164705755448,0.0669726660976,0.0164705755448,0.0611320215454,0.013169460588,0.0743281826877,0.283136175255,0.0591357579228,0.0,1.2353379754268001,1,1,8
2013-08-27 02:00:00,0.530256661809,0.0192276877419,0.0,0.0,0.024813558451,0.00809340491555,0.0329069633665,0.00809340491555,0.0611320215454,0.013169460588,0.0655928820049,0.279150680706,0.0616606535987,0.0,1.1040973796425,2,1,8
2013-08-27 03:00:00,0.524465594713,0.0185013592638,0.0,0.0,0.0,0.0,0.0,0.0,0.0611320215454,0.013169460588,0.0762719894816,0.268605726378,0.0886423967195,0.0,1.0507885486893,3,1,8
2013-08-27 04:00:00,0.692937986095,0.0206460299668,0.0,0.0,0.0,0.0,0.0,0.0,0.06472802375,0.0139441348412,0.0895570515125,0.299742402542,0.208322373449,0.0,1.3898780021565003,4,1,8
2013-08-27 05:00:00,1.06789259906,0.0238544573383,0.0,0.0,0.0,0.0,0.0,0.0,0.104284055967,0.0224655516263,0.146457255179,0.346322870084,0.431718866206,0.0,2.1429956554605996,5,1,8
2013-08-27 06:00:00,1.42819417273,0.0253471481476,0.0,0.0,0.0642357063644,0.0203569957739,0.0845927021382,0.0203569957739,0.183396040737,0.0395083886288,0.230459913765,0.367993996695,0.490599130762,0.0,2.9550411915157997,6,1,8
2013-08-27 07:00:00,1.44057647445,0.0214295496636,0.0,0.0,0.123977062839,0.0375394917741,0.161516554613,0.0375394917741,0.143840088185,0.0309869701276,0.3023400993,0.311117668235,0.474131093987,0.0,3.0849945449484,7,1,8
2013-08-27 08:00:00,1.44542863259,0.0182382796576,0.0,0.0,0.215210135543,0.0625228347233,0.277732970266,0.0625228347233,0.0719200281592,0.0154934833476,0.37588557592,0.264786294102,0.422966280795,0.0,3.2327073498269994,8,1,8
2013-08-27 09:00:00,1.61856433598,0.0186672137982,0.0,0.0,0.389229746906,0.110588853963,0.499818600869,0.110588853963,0.0575360273073,0.0123947863348,0.39768547199,0.271013629335,0.36347182014,0.0,3.8495593405863,9,1,8
2013-08-27 10:00:00,1.72159193334,0.0186729329201,0.0,0.0,0.500258980161,0.138891251063,0.639150231224,0.138891251063,0.0575360273073,0.0123947863348,0.413557851125,0.271096660471,0.311212376882,0.0,4.223254281891199,10,1,8
